DOI;PMID;arXiv ID;Title;Abstract;Authors;Journal;Year
10.1155/2012/534204;22474441;;Natural history of irritable bowel syndrome in women and dysmenorrhea: a 10-year follow-up study.;Background. Studies have shown that women are more likely to have irritable bowel syndrome (IBS) and more women seek healthcare because of IBS than men. Aim. We wanted to examine the natural history of IBS and dysmenorrhea in women over a 10-year period and to assess the change in IBS after menopause. Method. A population-based postal study. A questionnaire was mailed to the same age- and gender-stratified random sample of the Icelandic population aged 18–75 in 1996 and again in 2006. Results. 77% premenopausal women had dysmenorrhea in the year 1996 and 74% in 2006. 42% of women with dysmenorrhea had IBS according to Manning criteria in the year 2006 and 49% in 1996. 26% of women with dysmenorrhea had IBS according to Rome III 2006 and 11% in the year 1996. In 2006 30% women had severe or very severe dysmenorrhea pain severity. More women (27%) reported severe abdominal pain after menopause than before menopause 11%. Women without dysmenorrhea were twice more likely to remain asymptomatic than the women with dysmenorrhea. Women with dysmenorrhea were more likely to have stable symptoms and were twice more likely to have increased symptoms. Conclusion. Women with IBS are more likely to experience dysmenorrhea than women without IBS which seems to be a part of the symptomatology in most women with IBS. IBS symptom severity seems to increase after menopause.;Linda Bjork Olafsdottir,H. Gudjonsson,Heidur Hrund Jonsdottir,Einar Bjornsson,Bjarni Thjodleifsson;Gastroenterology Research and Practice;2012
10.5271/sjweh.3482;25634477;;Work schedule and physically demanding work in relation to menstrual function: the Nurses’ Health Study 3;Objectives   This study aimed to evaluate occupational exposures and menstrual cycle characteristics among nurses. ;;;
10.1016/j.jpag.2006.05.004;16873033;;Self-treatment patterns among adolescent girls with dysmenorrhea;Abstract   Study Objective  To describe both non-pharmacologic and pharmacologic treatments used by adolescents with dysmenorrhea.    Design  Cross-sectional study.    Setting  Urban academic medical center.    Participants  Healthy adolescents aged 19 years or younger (n = 76) with moderate to severe primary dysmenorrhea were included;;;
10.1097/01.jnr.0000387286.30688.5b;18348104;;Predictors of dysmenorrhea and self-care behavior among vocational nursing school female students.;The purposes of this study were to investigate: (a) differences in demographic characteristics between a group of with dysmenorrhea and a group without this condition, (b) the predictors of dysmenorrhea, and (c) self-care behavior for dysmenorrhea among vocational nursing school female students. A convenience sampling method was used. Freshmen from three vocational nursing schools located in southern Taiwan were recruited. 805 potential participants were surveyed with structured questionnaires, and 760 valid questionnaires were obtained. Results showed the average age of the participants to be 16.7 years. The prevalence rate of dysmenorrhea was 73.3%. Fifty percent of participants reported their menarche occurred between the ages of 12 to 14, 61.6% of them still didn't have regular menstruation, 83.9% had menstruation periods that lasted between 4 to 6 days, 34.6% had received relevant health education, and 20.8% had visited a doctor for dysmenorrhea. There was a significant difference between the dysmenorrhea and non-dysmenorrhea groups in terms of menstrual regularity and receipt of health education. Based on research results, we suggest improving female adolescents' self-care behavior against dysmenorrhea through enhanced health education in schools.;Miin-Huey Chiou,Hsiu-Hung Wang;Journal of Nursing Research;2008
10.1111/j.1471-0528.2009.02407.x;19874294;;The menstrual disorder of teenagers (MDOT) study: determining typical menstrual patterns and menstrual disturbance in a large population-based study of Australian teenagers.;Please cite this paper as: Parker M, Sneddon A, Arbon P. The menstrual disorder of teenagers (MDOT) study: determining typical menstrual patterns and menstrual disturbance in a large population-based study of Australian teenagers. BJOG 2010;;;
Conclusions Menstrual pain and symptoms are common in teenagers. Girls indicating moderate to severe pain in association with a high number of menstrual symptoms; school absence and interference with life activities should be effectively managed to minimise menstrual morbidity. Those girls who do not respond to medical management should be considered for further investigation for possible underlying pathology;" such as endometriosis.""";Melissa Parker,Anne Sneddon,Paul Arbon;British Journal of Obstetrics and Gynaecology;2010;;
10.1539/joh.47.149;15824480;;The associations between menstrual function and life style/working conditions among nurses in Taiwan.;This study was aimed at understanding the relationship among menstrual pattern, dysmenorrhea, life style and working conditions in nurses. The nurses were randomly selected from a medical center in Northern Taiwan. Each subject completed daily records including life and working conditions during the study period. The study showed that there were statistically significant differences in work years, daily working hours and type of work shift among nurses that worked at different units in the hospital. In the perceived regular cycle group, nurses that worked the night shift only exhibited the shortest menstrual cycles, less than 25 d. There was a significant difference (p<0.05) among the nurses' menstrual cycles. Many life factors (such as passive tobacco smoke exposure, perceived life satisfaction and perceived life stress) and working factors (such as work years, perceived work satisfaction and perceived work stress) were not significantly related to menstrual cycle regularity. In addition, 30% of the nurses complained of dysmenorrhea. Some factors including age, marital status and perceived life satisfaction were significantly related to dysmenorrhea. However, other life factors (such as passive tobacco smoke exposure, smoking, coffee, alcohol, cold drink habits, exercise and perceived life stress) and working factors (such as working places, type of work shift, daily work hours, perceived work satisfaction and perceived work stress) showed no correlation with dysmenorrhea. This study indicates that women should pay attention to their menstrual function and dysmenorrhea phenomenon.;Fen-Fang Chung,Chuan-Chiang Chou Yao,Gwo-Hwa Wan;Journal of Occupational Health;2005
10.2147/ijwh.s52429;24368891;;Burden of menstrual symptoms in Japanese women - an analysis of medical care-seeking behavior from a survey-based study.;Background;;;
Menstrual symptoms are associated with various health problems in women of reproductive age; and this may impact their quality of life. Despite this;" Japanese women are likely to hesitate seeking a specialist’s medical help for their menstrual symptoms.""";Erika Tanaka,Mikio Momoeda,Yutaka Osuga,B. Rossi,Ken Nomoto,Masakane Hayakawa,Kinya Kokubo,E.C.Y. Wang;International Journal of Women's Health;2013;;
10.1007/s11199-011-0052-z;;;The Menstrual Mark: Menstruation as Social Stigma;In this theoretical paper, we argue that menstruation is a source of social stigma for women. The word stigma refers to any stain or mark that renders the individual’s body or character defective. This stigma is transmitted through powerful socialization agents in popular culture such as advertisements and educational materials. We demonstrate, in our review of the psychological literature concerning attitudes and experiences of predominantly American girls and women, that the stigmatized status of menstruation has important consequences for their health, sexuality, and well-being. We argue that the stigma of menstruation both reflects and contributes to women’s lower social status and conclude with suggestions for ways to resist the stigma.;Ingrid Johnston-Robledo,Ingrid Johnston-Robledo,Ingrid Johnston-Robledo,Joan C. Chrisler;Sex Roles;2013
10.1371/journal.pone.0079132;24244435;;'We keep it secret so no one should know'--a qualitative study to explore young schoolgirls attitudes and experiences with menstruation in rural western Kenya.;Background: Keeping girls in school offers them protection against early marriage, teen pregnancy, and sexual harms, and enhances social and economic equity. Studies report menstruation exacerbates school-drop out and poor attendance, although evidence is sparse. This study qualitatively examines the menstrual experiences of young adolescent schoolgirls. Methods and Findings: The study was conducted in Siaya County in rural western Kenya. A sample of 120 girls aged 14–16 years took part in 11 focus group discussions, which were analysed thematically. The data gathered were supplemented by information from six FGDs with parents and community members. Emergent themes were: lack of preparation for menarche;;;
10.1136/oem.2003.012302;15550609;;Stress and dysmenorrhoea: a population based prospective study;Background: Dysmenorrhoea is the most common gynaecological disorder in women of reproductive age. Despite the association between stress and pregnancy outcomes, few studies have examined the possible link between stress and dysmenorrhoea. Aims and Methods: Using a population based cohort of Chinese women, the independent effect of women's perceived stress in the preceding menstrual cycle on the incidence of dysmenorrhoea in the subsequent cycle was investigated prospectively. The analysis included 1160 prospectively observed menstrual cycles from 388 healthy, nulliparous, newly married women who intended to conceive. The perception of stress and the occurrence of dysmenorrhoea in each menstrual cycle were determined from daily diaries recorded by the women. Results: After adjustment for important covariates, the risk of dysmenorrhoea was more than twice as great among women with high stress compared to those with low stress in the preceding cycle (OR = 2.4;;;
10.1186/1472-698x-11-7;21679414;;'The girl with her period is the one to hang her head' Reflections on menstrual management among schoolgirls in rural Kenya;The onset of menstruation is a landmark event in the life of a young woman. Yet the complications and challenges that can accompany such an event have been understudied, specifically in resource-poor settings. As interventions aim to improve female attendance in schools, it is important to explore how menstruation is perceived and navigated by girls in the school setting. This research conveys rural Kenyan schoolgirls' perceptions and practices related to menstruation Data were collected at six rural schools in the Nyanza Province of Western Kenya. Using focus group discussions, in-depth interviews, and field notes from observations, researchers collected information from 48 primary schoolgirls and nine teachers. Systematic analysis began with a reading of transcripts and debriefing notes, followed by manual coding of the narratives. Focus group discussions became opportunities for girls to share thoughts on menstruation, instruct one another on management practices and advise one another on coping mechanisms. Girls expressed fear, shame, distraction and confusion as feelings associated with menstruation. These feelings are largely linked to a sense of embarrassment, concerns about being stigmatized by fellow students and, as teachers explained, a perception that the onset of menstruation signals the advent of a girl's sexual status. Among the many methods for managing their periods, girls most frequently said they folded, bunched up or sewed cloth, including cloth from shirts or dresses, scraps of old cloth, or strips of an old blanket. Cloth was reported to frequently leak and cause chafing, which made school attendance difficult particularly as the day progressed. Attitudes and practices of girls toward menstruation have been arranged into personal, environmental and behavioural factors. Further research on menstrual management options that are practical, sustainable and culturally acceptable must be conducted to inform future programs and policies that aim to empower young girls as they transition into womanhood. Stakeholders working within this and similar contexts must consider systematic mechanisms to explain to young girls what menstruation is and how to manage it. Providing sanitary supplies or guiding girls on how to create supplies serve as critical components for future interventions.;Shannon A. McMahon,Peter John Winch,Bethany A. Caruso,Alfredo F Obure,Emily Awino Ogutu,Emily Awino Ogutu,Imelda A Ochari,Richard Rheingans;BMC International Health and Human Rights;2011
10.11604/pamj.2014.19.253.5313;25852796;;Menstrual hygiene management amongst schoolgirls in the Rukungiri district of Uganda and the impact on their education: a cross-sectional study;INTRODUCTION: an increasing number of studies have found that girls in low-income settings miss or struggle at school during menstruation if they are unable to manage their menstrual hygiene effectively. This study explores the menstrual hygiene practices and knowledge of girls at rural government primary schools in the Rukungiri district in Uganda and assesses the extent to which poor menstrual hygiene management (MHM) affects their education. METHODS: a self-administered questionnaire was completed by schoolgirls in six government-run primary schools in the Rukungiri district. Focus groups were held with girls from each school and semi-structured interviews were conducted with headteachers and female teachers from the participating schools. A toilet assessment was also conducted in each school. RESULTS: one hundred and forty schoolgirls completed the questionnaire. The girls reported a lack of access to adequate resources, facilities and accurate information to manage their menstrual hygiene effectively at school. They reported that, as a result, during menstruation they often struggle at school or miss school. Eighty-six girls (61.7%) reported missing school each month for menstrual-related reasons (mean 1.64, range 0-10, SD. 1.84).  CONCLUSION: it is common for girls who attend government-run primary schools in the Rukungiri district to miss school or struggle in lessons during menstruation because they do not have access to the resources, facilities, or information they need to manage for effective MHM. This is likely to have detrimental effects on their education and future prospects. A large-scale study is needed to explore the extent of this issue.;Robyn Boosey,Georgina Prestwich,Toity Deave,Toity Deave;The Pan African medical journal;2014
10.1111/j.1442-2018.2008.00391.x;18786065;;Menstrual disorders and their adverse symptoms at work: an emerging occupational health issue in the nursing profession.;Abstract Menstrual disorders and their adverse symptoms represent an important health issue for many women of child-bearing age. Aside from a deleterious effect on the individual's private life, menstrual disorders are being increasingly recognized as having significant implications at work. This is particularly relevant in occupations such as nursing, where the majority of staff is female. Various investigations have identified the prevalence, distribution, and risk factors associated with menstrual disorders, both in the general community and within the nursing profession. Overall, it is clear that menstrual disorders and their adverse symptoms represent an important occupational health challenge for modern nursing. Future interventions specifically aimed at reducing the work-related burden of these issues should be urgently considered. A more dedicated commitment from higher management regarding the overall health of nurses at work is also required.;Derek R. Smith;Nursing & Health Sciences;2008
10.2486/indhealth.ms1047;21173526;;Menstrual Cycle and Menstrual Pain Problems and Related Risk Factors among Japanese Female Workers;Women's employment in Japan has increased substantially in recent decades, however little large scale research has been done on the impact of various types of working conditions on women's health. The aim of this study was to assess the menstrual cycle and menstrual pain problems of female workers and to investigate the factors that relate to them. The questionnaire was distributed to 8,150 women and 2,166 responded (26.6%). An anony- mous self-administered questionnaire was used to get information about demographics, men- strual cycle status, the degree of menstrual pain, and employment and environmental factors. Irregular cycle menstruation was experienced in 17.1% of responded workers. We discovered the relationship between irregular menstrual cycles and stress, smell of cigarettes, age and smoking habits. Some degree of menstrual pain was experienced in 77.6% of responded work- ers. This study showed the relationship between menstrual pain and stress, high temperature and humidity, age, BMI, and number of births. In conclusion, we found that stress is thought to be an important factor related with menstrual cycle irregularities and menstrual pain among Japanese female workers.;Michiko Nohara,Mikio Momoeda,Toshiro Kubota,Masao Nakabayashi;Industrial Health;2011
10.1186/s12905-016-0301-y;27145834;;Rotating shift work and menstrual characteristics in a cohort of Chinese nurses;Shift work disrupts the circadian rhythm and may cause menstruation disorders. This study assessed the impact of shift work on menstrual cycle in a population of Chinese nurses.;Yizi Wang,Fang Gu,Mingfen Deng,Lan Guo,Ciyong Lu,Canquan Zhou,Shouzhen Chen,Yanwen Xu;BMC Women's Health;2016
10.1136/bmjopen-2016-015508;28694347;;Menstrual hygiene management among Bangladeshi adolescent schoolgirls and risk factors affecting school absence: results from a cross-sectional survey.;Background  Many adolescent girls in low-income and middle-income countries lack appropriate facilities and support in school to manage menstruation. Little research has been conducted on how menstruation affects school absence. This study examines the association of menstrual hygiene management knowledge, facilities and practice with absence from school during menstruation among Bangladeshi schoolgirls.  Methods  We conducted a nationally representative, cross-sectional study in Bangladeshi schools from March to June 2013 among girls 11 to 17years old who reached menarche. We sampled 700 schools from 50 urban and 50 rural clusters using a probability proportional to size technique. We interviewed 2332 schoolgirls and conducted spot checks in each school for menstrual hygiene facilities. To assess factors associated with reported school absence, we estimated adjusted prevalence difference (APD) for controlling confounders’ effect using generalised estimating equations to account for school-level clustering.  Results  Among schoolgirls who reached menarche, 41% (931) reported missing school, an average of 2.8 missed days per menstrual cycle. Students who felt uncomfortable at school during menstruation (99% vs 32%;;;
10.1136/bmjopen-2017-017615;29259057;;Influencing factors of dysmenorrhoea among hospital nurses: a questionnaire survey in Taiwan.;Objectives  Nurses are at high risk of dysmenorrhoea while working with patients. The study objectives were to: (1) describe the demographic and menstruation characteristics of dysmenorrhoea, knowledge about dysmenorrhoea and menstrual attitudes towards menstruation among dysmenorrhoeal and non-dysmenorrhoeal hospital nurses;;;
10.3390/diseases7010005;;;Prevalence, Wellbeing, and Symptoms of Dysmenorrhea among University Nursing Students in Greece.;Dysmenorrhea (pain during menstruation) is one of the most common medical conditions among women of reproductive age. Dysmenorrhea has been studied around the world but not yet in Greece. The aim of the present study was to investigate the prevalence, characteristics, and impact of dysmenorrhea on the wellbeing (exercising, and social and academic functioning) among nursing students in Greece. A cross-sectional study of 637 nursing students was conducted by administering a questionnaire at a university in Athens. The prevalence of dysmenorrhea was 89.2% and the rate of severe intensity was 52.5%. Factors that were associated with severe dysmenorrhea were family history (p = 0.02), early menarche (p = 0.05) and menstruation duration (p = 0.05). Women with moderate and severe pain reported using pain relievers (non-steroidal anti-inflammatory drugs (NSAIDs), paracetamol etc., p < 0.0005). Finally, activities affected by severe pain were class attendance (p = 0.01), personal studying (p < 0.0005), exercising (p < 0.0005), and socializing (p < 0.0005). Exam attendance (p = 0.27) and clinical placement attendance (p = 0.48) were not affected by severe dysmenorrhea. Dysmenorrhea has a high prevalence among nursing students and seems to affect important aspects of wellbeing and academic performance when the pain intensity is severe. The present findings lay the foundation for further investigation of dysmenorrhea both in the Greek population and cross-culturally.;Eugenia Vlachou,Eugenia Vlachou,Dimitra Anna Owens,Maria Lavdaniti,Maria Lavdaniti,John Kalemikerakis,Eleni Evagelou,Eleni Evagelou,Nikoletta Margari,Nikoletta Margari,Nikoletta Margari,Georgia Fasoi,Georgia Fasoi,Eftychia Evangelidou,Ourania Govina,Athanasios N. Tsartsalis,Athanasios N. Tsartsalis,Athanasios N. Tsartsalis;Diseases;2019
10.1186/s12905-019-0730-5;30777053;;Menstrual characteristics, disorders and associated risk factors among female international students in Zhejiang Province, China: a cross-sectional survey;Background;;;
Until now; no previous study has addressed the menstrual patterns among female international students in China. In this present study;" our objectives are to ascertain the menstrual characteristics and address the menstrual problems together with their associated risk factors among international students in China.""";Emmanuel Ansong,Samuel Kofi Arhin,Yaoyao Cai,Xinxin Xu,Xue Qing Wu;BMC Women's Health;2019;;
10.1016/s2468-2667(19)30111-2;;;Menstrual cup use, leakage, acceptability, safety, and availability: a systematic review and meta-analysis;Summary  Background  Girls and women need effective, safe, and affordable menstrual products. Single-use products are regularly selected by agencies for resource-poor settings;;;
10.1016/j.jpag.2019.12.008;31883905;;The Effects of a Dysmenorrhea Support Program on University Students Who Had Primary Dysmenorrhea: A Randomized Controlled Study.;Abstract   Study Objective  This study aims to determine the results of a cognitive-behavioral approach in a dysmenorrhea support program that covers the symptoms, acquaintance, and attitudes toward menstruation of university students who had primary dysmenorrhea.    Design, Setting, Participants, Interventions, and Main Outcome Measures  The randomized controlled, prospective, and experimental study was carried out in a nursing school using a pretest-posttest design. Six hundred eighty-two female nursing students, 584 volunteers, from the 2017-2018 academic year participated in the study conducted for the prevalence of primary dysmenorrhea (94.0%).  Study subjects were first year female nursing students who scored severe on a Visual Analog Scale for primary dysmenorrhea. As a result of the analysis, 80 female nursing students were assigned to study and control groups. Sixty students, 29 in the study group and 31 in the control group, completed the study. The study group was included in a six-session cognitive-behavioral approach in a dysmenorrhea support program. No intervention was administered to the control group. The control group and the study group were followed by using data collection forms during three menstrual cycles.    Results  In the case of primary dysmenorrhea, the use of nonpharmacological methods was higher in the study group than in the control group. In the third cycle, while the rate of analgesics use was 20.7% in the study group, it was 50% in the control group. Primary dysmenorrhea symptoms, pain levels, and analgesic use decreased. No change was observed in the attitude toward menstruation.    Conclusion  A cost-effective and reliable cognitive behavioral approach-based dysmenorrhea support program can be used to relieve symptoms, decrease the use of analgesics and increase knowledge about primary dysmenorrhea.;Büşra Yilmaz,Busra Yilmaz,Nevin Hotun Sahin;Journal of Pediatric and Adolescent Gynecology;2019
10.3390/ijerph17186670;32933209;;Living with Pain and Looking for a Safe Environment: A Qualitative Study among Nursing Students with Dysmenorrhea.;Dysmenorrhea refers to chronic pain associated with menstruation that is often accompanied by other symptoms. Primary dysmenorrhea (PD) occurs without any associated pelvic disease. Nonetheless, it may negatively affect women’s quality of life. Among university students, dysmenorrhea decreases academic performance and is a cause of absenteeism. The purposes of our study were to describe how nursing students experienced PD and the changes affecting their body and mood. A qualitative case study was performed among 33 nursing students with PD. Data were collected through five focus groups (with two sessions each) and 10 researchers’ field notes. We used a video meeting platform to conduct the focus groups. A thematic analysis was performed, and the Standards for Reporting Qualitative Research and the Consolidated Criteria for Reporting Qualitative Research guidelines were followed. Three main themes emerged from the data: (a) living with dysmenorrhea, with two subthemes: menstruation and pain;;;
